"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2012","12","12000","Florida","18,912,451","3,248,276","3,212,223","3,284,329","3,212,223 to 3,284,329","17.2","17.0","17.4","17.0 to 17.4","3,944,810","1,011,096","989,296","1,032,896","989,296 to 1,032,896","25.6","25.0","26.2","25.0 to 26.2","2,873,933","693,284","673,522","713,046","673,522 to 713,046","24.1","23.4","24.8","23.4 to 24.8","1,052,557","300,437","291,986","308,888","291,986 to 308,888","28.5","27.7","29.3","27.7 to 29.3","$45,006","$44,664","$45,348","$44,664 to $45,348"
"2011","12","12000","Florida","18,652,058","3,178,155","3,138,992","3,217,318","3,138,992 to 3,217,318","17.0","16.8","17.2","16.8 to 17.2","3,932,909","985,615","964,099","1,007,131","964,099 to 1,007,131","25.1","24.6","25.6","24.6 to 25.6","2,859,492","670,753","653,062","688,444","653,062 to 688,444","23.5","22.9","24.1","22.9 to 24.1","1,057,900","299,201","287,545","310,857","287,545 to 310,857","28.3","27.2","29.4","27.2 to 29.4","$44,250","$43,850","$44,650","$43,850 to $44,650"
"2010","12","12000","Florida","18,436,765","3,048,621","3,014,414","3,082,828","3,014,414 to 3,082,828","16.5","16.3","16.7","16.3 to 16.7","3,938,186","929,620","909,688","949,552","909,688 to 949,552","23.6","23.1","24.1","23.1 to 24.1","2,864,957","628,165","611,525","644,805","611,525 to 644,805","21.9","21.3","22.5","21.3 to 22.5","1,054,588","284,672","274,753","294,591","274,753 to 294,591","27.0","26.1","27.9","26.1 to 27.9","$44,390","$44,071","$44,709","$44,071 to $44,709"
"2009","12","12000","Florida","18,124,831","2,712,692","2,679,143","2,746,241","2,679,143 to 2,746,241","15.0","14.8","15.2","14.8 to 15.2","3,991,262","857,326","837,561","877,092","837,561 to 877,092","21.5","21.0","22.0","21.0 to 22.0","2,830,566","556,711","539,315","574,107","539,315 to 574,107","19.7","19.1","20.3","19.1 to 20.3","1,143,181","284,323","274,555","294,091","274,555 to 294,091","24.9","24.0","25.7","24.0 to 25.7","$44,755","$44,468","$45,041","$44,468 to $45,041"
"2008","12","12000","Florida","17,923,499","2,375,225","2,342,192","2,408,259","2,342,192 to 2,408,259","13.3","13.1","13.4","13.1 to 13.4","3,941,602","726,383","709,162","743,603","709,162 to 743,603","18.4","18.0","18.9","18.0 to 18.9","2,807,852","469,407","455,184","483,630","455,184 to 483,630","16.7","16.2","17.2","16.2 to 17.2","1,117,342","242,402","232,723","252,082","232,723 to 252,082","21.7","20.8","22.6","20.8 to 22.6","$47,802","$47,454","$48,149","$47,454 to $48,149"
"2007","12","12000","Florida","17,846,784","2,167,111","2,137,570","2,196,653","2,137,570 to 2,196,653","12.1","12.0","12.3","12.0 to 12.3","3,970,922","685,647","667,311","703,982","667,311 to 703,982","17.3","16.8","17.7","16.8 to 17.7","2,821,190","437,055","420,567","453,543","420,567 to 453,543","15.5","14.9","16.1","14.9 to 16.1","1,124,188","225,870","216,943","234,797","216,943 to 234,797","20.1","19.3","20.9","19.3 to 20.9","$47,804","$47,468","$48,140","$47,468 to $48,140"
"2006","12","12000","Florida","17,686,243","2,232,534","2,201,543","2,263,526","2,201,543 to 2,263,526","12.6","12.4","12.8","12.4 to 12.8","3,948,256","695,303","677,399","713,207","677,399 to 713,207","17.6","17.2","18.1","17.2 to 18.1","2,820,879","448,742","432,743","464,741","432,743 to 464,741","15.9","15.3","16.5","15.3 to 16.5","1,102,065","224,402","216,160","232,643","216,160 to 232,643","20.4","19.6","21.1","19.6 to 21.1","$45,494","$45,250","$45,739","$45,250 to $45,739"
"2015","13","13000","Georgia","9,943,136","1,705,831","1,680,084","1,731,578","1,680,084 to 1,731,578","17.2","16.9","17.5","16.9 to 17.5","2,467,585","610,161","595,487","624,835","595,487 to 624,835","24.7","24.1","25.3","24.1 to 25.3","1,811,276","427,825","414,957","440,693","414,957 to 440,693","23.6","22.9","24.3","22.9 to 24.3","647,712","174,035","167,317","180,753","167,317 to 180,753","26.9","25.9","27.9","25.9 to 27.9","$51,225","$50,856","$51,594","$50,856 to $51,594"
"2014","13","13000","Georgia","9,823,818","1,802,783","1,775,584","1,829,982","1,775,584 to 1,829,982","18.4","18.1","18.7","18.1 to 18.7","2,456,276","646,960","631,217","662,703","631,217 to 662,703","26.3","25.7","26.9","25.7 to 26.9","1,801,385","447,407","433,676","461,138","433,676 to 461,138","24.8","24.0","25.6","24.0 to 25.6","647,508","191,807","184,192","199,422","184,192 to 199,422","29.6","28.4","30.8","28.4 to 30.8","$49,240","$48,708","$49,772","$48,708 to $49,772"
"2013","13","13000","Georgia","9,720,922","1,849,944","1,823,426","1,876,462","1,823,426 to 1,876,462","19.0","18.7","19.3","18.7 to 19.3","2,454,092","655,194","638,380","672,008","638,380 to 672,008","26.7","26.0","27.4","26.0 to 27.4","1,788,873","445,608","430,771","460,445","430,771 to 460,445","24.9","24.1","25.7","24.1 to 25.7","656,238","200,614","192,856","208,372","192,856 to 208,372","30.6","29.4","31.8","29.4 to 31.8","$47,765","$47,154","$48,376","$47,154 to $48,376"
"2012","13","13000","Georgia","9,652,654","1,852,459","1,826,052","1,878,866","1,826,052 to 1,878,866","19.2","18.9","19.5","18.9 to 19.5","2,460,958","672,149","655,922","688,376","655,922 to 688,376","27.3","26.6","28.0","26.6 to 28.0","1,789,034","457,339","443,269","471,409","443,269 to 471,409","25.6","24.8","26.4","24.8 to 26.4","664,623","207,316","199,216","215,416","199,216 to 215,416","31.2","30.0","32.4","30.0 to 32.4","$47,125","$46,750","$47,500","$46,750 to $47,500"
"2011","13","13000","Georgia","9,550,252","1,836,715","1,806,754","1,866,676","1,806,754 to 1,866,676","19.2","18.9","19.5","18.9 to 19.5","2,454,435","651,999","635,149","668,849","635,149 to 668,849","26.6","25.9","27.3","25.9 to 27.3","1,775,243","440,361","426,024","454,698","426,024 to 454,698","24.8","24.0","25.6","24.0 to 25.6","670,712","202,963","194,063","211,863","194,063 to 211,863","30.3","29.0","31.6","29.0 to 31.6","$45,886","$45,438","$46,334","$45,438 to $46,334"
"2010","13","13000","Georgia","9,446,940","1,698,004","1,670,505","1,725,503","1,670,505 to 1,725,503","18.0","17.7","18.3","17.7 to 18.3","2,452,922","613,581","600,100","627,062","600,100 to 627,062","25.0","24.5","25.5","24.5 to 25.5","1,770,652","406,975","395,681","418,269","395,681 to 418,269","23.0","22.4","23.6","22.4 to 23.6","673,318","197,978","190,997","204,959","190,997 to 204,959","29.4","28.4","30.4","28.4 to 30.4","$46,252","$45,792","$46,712","$45,792 to $46,712"
"2009","13","13000","Georgia","9,535,751","1,585,116","1,558,085","1,612,148","1,558,085 to 1,612,148","16.6","16.3","16.9","16.3 to 16.9","2,540,096","575,429","559,426","591,432","559,426 to 591,432","22.7","22.0","23.3","22.0 to 23.3","1,796,519","373,468","359,590","387,346","359,590 to 387,346","20.8","20.0","21.6","20.0 to 21.6","734,951","194,127","186,581","201,672","186,581 to 201,672","26.4","25.4","27.4","25.4 to 27.4","$47,469","$47,060","$47,877","$47,060 to $47,877"
"2008","13","13000","Georgia","9,417,950","1,388,959","1,365,387","1,412,531","1,365,387 to 1,412,531","14.7","14.5","15.0","14.5 to 15.0","2,509,412","507,967","493,949","521,985","493,949 to 521,985","20.2","19.7","20.8","19.7 to 20.8","1,773,602","324,953","312,919","336,987","312,919 to 336,987","18.3","17.6","19.0","17.6 to 19.0","725,014","172,745","165,386","180,105","165,386 to 180,105","23.8","22.8","24.8","22.8 to 24.8","$50,834","$50,429","$51,240","$50,429 to $51,240"
"2007","13","13000","Georgia","9,286,060","1,329,161","1,307,166","1,351,156","1,307,166 to 1,351,156","14.3","14.1","14.6","14.1 to 14.6","2,493,630","494,787","481,029","508,545","481,029 to 508,545","19.8","19.3","20.4","19.3 to 20.4","1,759,760","318,255","306,665","329,845","306,665 to 329,845","18.1","17.4","18.7","17.4 to 18.7","723,292","167,468","160,211","174,724","160,211 to 174,724","23.2","22.2","24.2","22.2 to 24.2","$49,080","$48,606","$49,553","$48,606 to $49,553"
"2006","13","13000","Georgia","9,082,634","1,340,255","1,318,908","1,361,603","1,318,908 to 1,361,603","14.8","14.5","15.0","14.5 to 15.0","2,405,520","489,021","477,056","500,985","477,056 to 500,985","20.3","19.8","20.8","19.8 to 20.8","1,701,478","316,838","306,642","327,034","306,642 to 327,034","18.6","18.0","19.2","18.0 to 19.2","687,794","157,983","151,740","164,226","151,740 to 164,226","23.0","22.1","23.9","22.1 to 23.9","$46,808","$46,417","$47,198","$46,417 to $47,198"
"2015","15","15000","Hawaii","1,394,130","149,091","143,298","154,884","143,298 to 154,884","10.7","10.3","11.1","10.3 to 11.1","305,442","44,299","41,234","47,364","41,234 to 47,364","14.5","13.5","15.5","13.5 to 15.5","213,778","28,665","26,088","31,242","26,088 to 31,242","13.4","12.2","14.6","12.2 to 14.6","89,650","13,836","12,272","15,400","12,272 to 15,400","15.4","13.7","17.1","13.7 to 17.1","$73,097","$71,322","$74,872","$71,322 to $74,872"
"2014","15","15000","Hawaii","1,379,800","158,266","151,850","164,682","151,850 to 164,682","11.5","11.0","12.0","11.0 to 12.0","300,993","45,637","42,587","48,687","42,587 to 48,687","15.2","14.2","16.2","14.2 to 16.2","211,163","31,378","28,808","33,948","28,808 to 33,948","14.9","13.7","16.1","13.7 to 16.1","88,417","12,875","11,340","14,410","11,340 to 14,410","14.6","12.9","16.3","12.9 to 16.3","$69,549","$68,236","$70,862","$68,236 to $70,862"
"2013","15","15000","Hawaii","1,367,661","153,375","146,661","160,089","146,661 to 160,089","11.2","10.7","11.7","10.7 to 11.7","302,288","43,574","40,054","47,094","40,054 to 47,094","14.4","13.2","15.6","13.2 to 15.6","210,790","29,374","26,298","32,450","26,298 to 32,450","13.9","12.4","15.4","12.4 to 15.4","89,135","12,392","10,726","14,058","10,726 to 14,058","13.9","12.0","15.8","12.0 to 15.8","$67,798","$66,428","$69,168","$66,428 to $69,168"
"2012","15","15000","Hawaii","1,356,821","159,988","153,828","166,148","153,828 to 166,148","11.8","11.3","12.3","11.3 to 12.3","299,357","51,557","48,450","54,664","48,450 to 54,664","17.2","16.2","18.2","16.2 to 18.2","209,093","33,910","31,241","36,579","31,241 to 36,579","16.2","14.9","17.5","14.9 to 17.5","88,165","16,088","14,543","17,633","14,543 to 17,633","18.2","16.4","20.0","16.4 to 20.0","$66,086","$64,683","$67,489","$64,683 to $67,489"
"2011","15","15000","Hawaii","1,338,541","161,606","154,618","168,594","154,618 to 168,594","12.1","11.6","12.6","11.6 to 12.6","299,285","50,172","46,733","53,611","46,733 to 53,611","16.8","15.7","17.9","15.7 to 17.9","211,461","33,653","30,731","36,575","30,731 to 36,575","15.9","14.5","17.3","14.5 to 17.3","86,708","15,204","13,295","17,113","13,295 to 17,113","17.5","15.3","19.7","15.3 to 19.7","$62,071","$61,102","$63,040","$61,102 to $63,040"
"2010","15","15000","Hawaii","1,326,381","146,923","140,582","153,264","140,582 to 153,264","11.1","10.6","11.6","10.6 to 11.6","297,073","43,595","40,209","46,981","40,209 to 46,981","14.7","13.6","15.8","13.6 to 15.8","210,148","27,307","24,374","30,240","24,374 to 30,240","13.0","11.6","14.4","11.6 to 14.4","84,864","14,535","12,873","16,197","12,873 to 16,197","17.1","15.1","19.1","15.1 to 19.1","$62,774","$61,500","$64,048","$61,500 to $64,048"
"2009","15","15000","Hawaii","1,264,182","131,896","125,676","138,116","125,676 to 138,116","10.4","9.9","10.9","9.9 to 10.9","286,128","39,214","36,312","42,115","36,312 to 42,115","13.7","12.7","14.7","12.7 to 14.7","197,254","25,040","22,668","27,412","22,668 to 27,412","12.7","11.5","13.9","11.5 to 13.9","87,446","12,815","11,236","14,395","11,236 to 14,395","14.7","12.8","16.5","12.8 to 16.5","$63,741","$62,422","$65,059","$62,422 to $65,059"
"2008","15","15000","Hawaii","1,260,600","116,618","110,491","122,744","110,491 to 122,744","9.3","8.8","9.7","8.8 to 9.7","281,497","30,728","27,911","33,544","27,911 to 33,544","10.9","9.9","11.9","9.9 to 11.9","194,028","18,001","15,575","20,427","15,575 to 20,427","9.3","8.0","10.5","8.0 to 10.5","86,054","11,250","9,803","12,696","9,803 to 12,696","13.1","11.4","14.8","11.4 to 14.8","$66,701","$65,063","$68,339","$65,063 to $68,339"
"2007","15","15000","Hawaii","1,254,861","106,232","101,569","110,894","101,569 to 110,894","8.5","8.1","8.8","8.1 to 8.8","282,748","30,618","27,922","33,315","27,922 to 33,315","10.8","9.9","11.8","9.9 to 11.8","196,237","18,364","16,106","20,622","16,106 to 20,622","9.4","8.2","10.5","8.2 to 10.5","85,454","10,932","9,494","12,371","9,494 to 12,371","12.8","11.1","14.5","11.1 to 14.5","$62,613","$61,100","$64,125","$61,100 to $64,125"
"2006","15","15000","Hawaii","1,252,102","117,811","112,601","123,021","112,601 to 123,021","9.4","9.0","9.8","9.0 to 9.8","292,476","34,462","31,744","37,181","31,744 to 37,181","11.8","10.9","12.7","10.9 to 12.7","204,359","21,325","18,997","23,653","18,997 to 23,653","10.4","9.3","11.6","9.3 to 11.6","85,849","11,171","9,779","12,562","9,779 to 12,562","13.0","11.4","14.6","11.4 to 14.6","$60,554","$59,522","$61,586","$59,522 to $61,586"
"2015","16","16000","Idaho","1,622,106","238,646","229,473","247,819","229,473 to 247,819","14.7","14.1","15.3","14.1 to 15.3","425,224","75,056","71,051","79,061","71,051 to 79,061","17.7","16.8","18.6","16.8 to 18.6","311,499","49,492","46,079","52,905","46,079 to 52,905","15.9","14.8","17.0","14.8 to 17.0","111,249","23,270","21,371","25,169","21,371 to 25,169","20.9","19.2","22.6","19.2 to 22.6","$48,311","$47,281","$49,341","$47,281 to $49,341"
"2014","16","16000","Idaho","1,603,065","237,604","230,083","245,125","230,083 to 245,125","14.8","14.3","15.3","14.3 to 15.3","424,188","80,668","76,639","84,697","76,639 to 84,697","19.0","18.1","19.9","18.1 to 19.9","312,072","54,061","50,551","57,571","50,551 to 57,571","17.3","16.2","18.4","16.2 to 18.4","110,487","24,774","22,973","26,575","22,973 to 26,575","22.4","20.8","24.0","20.8 to 24.0","$47,572","$46,434","$48,710","$46,434 to $48,710"
"2013","16","16000","Idaho","1,582,907","246,708","237,342","256,074","237,342 to 256,074","15.6","15.0","16.2","15.0 to 16.2","422,898","81,389","76,313","86,465","76,313 to 86,465","19.2","18.0","20.4","18.0 to 20.4","308,637","56,633","52,093","61,173","52,093 to 61,173","18.3","16.8","19.8","16.8 to 19.8","112,376","22,764","20,596","24,932","20,596 to 24,932","20.3","18.4","22.2","18.4 to 22.2","$46,621","$45,745","$47,497","$45,745 to $47,497"
"2012","16","16000","Idaho","1,565,489","250,203","242,232","258,174","242,232 to 258,174","16.0","15.5","16.5","15.5 to 16.5","420,753","89,672","85,260","94,084","85,260 to 94,084","21.3","20.3","22.3","20.3 to 22.3","304,826","59,158","55,230","63,086","55,230 to 63,086","19.4","18.1","20.7","18.1 to 20.7","114,062","28,783","26,880","30,686","26,880 to 30,686","25.2","23.5","26.9","23.5 to 26.9","$45,296","$44,435","$46,157","$44,435 to $46,157"
"2011","16","16000","Idaho","1,550,079","256,257","248,124","264,390","248,124 to 264,390","16.5","16.0","17.0","16.0 to 17.0","416,976","89,007","84,616","93,398","84,616 to 93,398","21.3","20.2","22.4","20.2 to 22.4","298,517","57,242","53,399","61,085","53,399 to 61,085","19.2","17.9","20.5","17.9 to 20.5","115,727","29,351","27,053","31,649","27,053 to 31,649","25.4","23.4","27.4","23.4 to 27.4","$43,345","$42,213","$44,477","$42,213 to $44,477"
"2010","16","16000","Idaho","1,541,857","244,009","236,574","251,444","236,574 to 251,444","15.8","15.3","16.3","15.3 to 16.3","423,490","83,752","79,791","87,713","79,791 to 87,713","19.8","18.9","20.7","18.9 to 20.7","301,687","51,930","48,574","55,286","48,574 to 55,286","17.2","16.1","18.3","16.1 to 18.3","119,886","30,059","27,951","32,167","27,951 to 32,167","25.1","23.3","26.9","23.3 to 26.9","$43,259","$42,380","$44,138","$42,380 to $44,138"
"2009","16","16000","Idaho","1,511,955","217,528","209,865","225,192","209,865 to 225,192","14.4","13.9","14.9","13.9 to 14.9","413,595","76,630","72,538","80,723","72,538 to 80,723","18.5","17.5","19.5","17.5 to 19.5","288,326","47,402","43,954","50,850","43,954 to 50,850","16.4","15.2","17.6","15.2 to 17.6","123,377","27,308","25,112","29,504","25,112 to 29,504","22.1","20.4","23.9","20.4 to 23.9","$44,644","$43,785","$45,504","$43,785 to $45,504"
"2008","16","16000","Idaho","1,489,050","186,015","178,723","193,306","178,723 to 193,306","12.5","12.0","13.0","12.0 to 13.0","406,334","64,361","60,642","68,081","60,642 to 68,081","15.8","14.9","16.8","14.9 to 16.8","283,097","37,696","34,449","40,943","34,449 to 40,943","13.3","12.2","14.5","12.2 to 14.5","119,637","23,738","21,899","25,578","21,899 to 25,578","19.8","18.3","21.4","18.3 to 21.4","$47,561","$46,654","$48,467","$46,654 to $48,467"
"2007","16","16000","Idaho","1,464,464","177,830","172,138","183,522","172,138 to 183,522","12.1","11.8","12.5","11.8 to 12.5","400,558","63,568","60,029","67,106","60,029 to 67,106","15.9","15.0","16.8","15.0 to 16.8","281,584","39,046","35,892","42,200","35,892 to 42,200","13.9","12.7","15.0","12.7 to 15.0","116,544","22,306","20,643","23,969","20,643 to 23,969","19.1","17.7","20.6","17.7 to 20.6","$46,136","$45,434","$46,838","$45,434 to $46,838"
"2006","16","16000","Idaho","1,431,508","182,933","177,567","188,299","177,567 to 188,299","12.8","12.4","13.2","12.4 to 13.2","387,232","61,771","58,540","65,002","58,540 to 65,002","16.0","15.1","16.8","15.1 to 16.8","273,619","37,915","35,165","40,665","35,165 to 40,665","13.9","12.9","14.9","12.9 to 14.9","110,881","21,276","19,625","22,926","19,625 to 22,926","19.2","17.7","20.7","17.7 to 20.7","$42,846","$42,066","$43,625","$42,066 to $43,625"
"2015","17","17000","Illinois","12,559,451","1,702,210","1,676,981","1,727,439","1,676,981 to 1,727,439","13.6","13.4","13.8","13.4 to 13.8","2,915,674","557,787","542,782","572,792","542,782 to 572,792","19.1","18.6","19.6","18.6 to 19.6","2,135,326","382,854","369,734","395,974","369,734 to 395,974","17.9","17.3","18.5","17.3 to 18.5","768,706","163,741","156,247","171,235","156,247 to 171,235","21.3","20.3","22.3","20.3 to 22.3","$59,590","$59,086","$60,094","$59,086 to $60,094"
"2014","17","17000","Illinois","12,571,810","1,802,337","1,778,953","1,825,721","1,778,953 to 1,825,721","14.3","14.1","14.5","14.1 to 14.5","2,938,448","591,750","577,617","605,883","577,617 to 605,883","20.1","19.6","20.6","19.6 to 20.6","2,153,960","404,950","392,935","416,965","392,935 to 416,965","18.8","18.2","19.4","18.2 to 19.4","772,256","175,611","168,354","182,868","168,354 to 182,868","22.7","21.8","23.6","21.8 to 23.6","$57,458","$57,035","$57,881","$57,035 to $57,881"
"2013","17","17000","Illinois","12,576,676","1,841,996","1,815,888","1,868,104","1,815,888 to 1,868,104","14.6","14.4","14.8","14.4 to 14.8","2,975,854","613,204","596,994","629,414","596,994 to 629,414","20.6","20.1","21.1","20.1 to 21.1","2,183,649","427,235","412,541","441,929","412,541 to 441,929","19.6","18.9","20.3","18.9 to 20.3","780,845","174,886","167,712","182,060","167,712 to 182,060","22.4","21.5","23.3","21.5 to 23.3","$56,212","$55,814","$56,610","$55,814 to $56,610"
"2012","17","17000","Illinois","12,573,692","1,847,371","1,823,585","1,871,157","1,823,585 to 1,871,157","14.7","14.5","14.9","14.5 to 14.9","3,019,220","621,972","606,995","636,949","606,995 to 636,949","20.6","20.1","21.1","20.1 to 21.1","2,207,600","425,733","412,185","439,281","412,185 to 439,281","19.3","18.7","19.9","18.7 to 19.9","800,678","186,178","180,107","192,249","180,107 to 192,249","23.3","22.5","24.1","22.5 to 24.1","$55,126","$54,725","$55,527","$54,725 to $55,527"
"2011","17","17000","Illinois","12,566,914","1,871,484","1,845,497","1,897,471","1,845,497 to 1,897,471","14.9","14.7","15.1","14.7 to 15.1","3,055,200","651,430","636,157","666,703","636,157 to 666,703","21.3","20.8","21.8","20.8 to 21.8","2,231,514","443,273","430,016","456,530","430,016 to 456,530","19.9","19.3","20.5","19.3 to 20.5","812,299","198,619","191,172","206,066","191,172 to 206,066","24.5","23.6","25.4","23.6 to 25.4","$53,271","$52,773","$53,769","$52,773 to $53,769"
"2010","17","17000","Illinois","12,543,476","1,732,129","1,707,831","1,756,427","1,707,831 to 1,756,427","13.8","13.6","14.0","13.6 to 14.0","3,085,434","599,714","585,217","614,211","585,217 to 614,211","19.4","18.9","19.9","18.9 to 19.9","2,255,338","408,636","395,855","421,417","395,855 to 421,417","18.1","17.5","18.7","17.5 to 18.7","820,181","181,600","174,555","188,645","174,555 to 188,645","22.1","21.2","23.0","21.2 to 23.0","$52,967","$52,541","$53,393","$52,541 to $53,393"
"2009","17","17000","Illinois","12,574,339","1,671,343","1,642,933","1,699,754","1,642,933 to 1,699,754","13.3","13.1","13.5","13.1 to 13.5","3,132,264","586,040","569,067","603,014","569,067 to 603,014","18.7","18.2","19.3","18.2 to 19.3","2,242,179","392,427","377,672","407,182","377,672 to 407,182","17.5","16.8","18.2","16.8 to 18.2","878,839","183,410","175,761","191,060","175,761 to 191,060","20.9","20.0","21.7","20.0 to 21.7","$53,974","$53,579","$54,368","$53,579 to $54,368"
"2008","17","17000","Illinois","12,568,180","1,529,235","1,507,151","1,551,320","1,507,151 to 1,551,320","12.2","12.0","12.3","12.0 to 12.3","3,138,292","531,774","518,602","544,945","518,602 to 544,945","16.9","16.5","17.4","16.5 to 17.4","2,247,582","345,496","334,386","356,606","334,386 to 356,606","15.4","14.9","15.9","14.9 to 15.9","880,425","176,645","169,560","183,730","169,560 to 183,730","20.1","19.3","20.9","19.3 to 20.9","$56,230","$55,869","$56,590","$55,869 to $56,590"
"2007","17","17000","Illinois","12,541,197","1,496,152","1,472,155","1,520,149","1,472,155 to 1,520,149","11.9","11.7","12.1","11.7 to 12.1","3,158,197","524,318","508,387","540,250","508,387 to 540,250","16.6","16.1","17.1","16.1 to 17.1","2,264,334","348,638","334,986","362,290","334,986 to 362,290","15.4","14.8","16.0","14.8 to 16.0","877,385","161,574","153,677","169,472","153,677 to 169,472","18.4","17.5","19.3","17.5 to 19.3","$54,141","$53,778","$54,504","$53,778 to $54,504"
"2006","17","17000","Illinois","12,516,474","1,536,133","1,513,055","1,559,212","1,513,055 to 1,559,212","12.3","12.1","12.5","12.1 to 12.5","3,172,098","539,870","525,441","554,299","525,441 to 554,299","17.0","16.6","17.5","16.6 to 17.5","2,283,673","359,381","346,729","372,033","346,729 to 372,033","15.7","15.2","16.3","15.2 to 16.3","875,177","168,290","161,398","175,182","161,398 to 175,182","19.2","18.4","20.0","18.4 to 20.0","$52,012","$51,741","$52,282","$51,741 to $52,282"
"2015","18","18000","Indiana","6,417,433","924,428","906,481","942,375","906,481 to 942,375","14.4","14.1","14.7","14.1 to 14.7","1,545,123","314,486","303,600","325,372","303,600 to 325,372","20.4","19.7","21.1","19.7 to 21.1","1,127,735","211,780","202,402","221,158","202,402 to 221,158","18.8","18.0","19.6","18.0 to 19.6","409,307","95,156","89,876","100,436","89,876 to 100,436","23.2","21.9","24.5","21.9 to 24.5","$50,510","$50,126","$50,894","$50,126 to $50,894"
"2014","18","18000","Indiana","6,391,497","968,437","950,798","986,076","950,798 to 986,076","15.2","14.9","15.5","14.9 to 15.5","1,545,261","328,349","318,378","338,320","318,378 to 338,320","21.2","20.6","21.8","20.6 to 21.8","1,128,089","217,465","209,291","225,639","209,291 to 225,639","19.3","18.6","20.0","18.6 to 20.0","409,190","103,837","98,555","109,119","98,555 to 109,119","25.4","24.1","26.7","24.1 to 26.7","$49,384","$48,906","$49,862","$48,906 to $49,862"
"2013","18","18000","Indiana","6,367,955","1,008,411","990,634","1,026,188","990,634 to 1,026,188","15.8","15.5","16.1","15.5 to 16.1","1,551,479","339,807","329,272","350,342","329,272 to 350,342","21.9","21.2","22.6","21.2 to 22.6","1,134,360","226,607","217,617","235,597","217,617 to 235,597","20.0","19.2","20.8","19.2 to 20.8","408,867","105,472","99,881","111,063","99,881 to 111,063","25.8","24.4","27.2","24.4 to 27.2","$47,508","$47,002","$48,014","$47,002 to $48,014"
"2012","18","18000","Indiana","6,342,403","984,948","969,517","1,000,379","969,517 to 1,000,379","15.5","15.3","15.7","15.3 to 15.7","1,564,255","345,235","335,861","354,609","335,861 to 354,609","22.1","21.5","22.7","21.5 to 22.7","1,139,828","228,022","220,554","235,490","220,554 to 235,490","20.0","19.3","20.7","19.3 to 20.7","416,596","110,112","104,930","115,294","104,930 to 115,294","26.4","25.2","27.6","25.2 to 27.6","$46,954","$46,540","$47,368","$46,540 to $47,368"
"2011","18","18000","Indiana","6,318,952","1,001,053","983,059","1,019,047","983,059 to 1,019,047","15.8","15.5","16.1","15.5 to 16.1","1,565,769","353,510","341,921","365,099","341,921 to 365,099","22.6","21.9","23.3","21.9 to 23.3","1,135,183","233,507","223,596","243,418","223,596 to 243,418","20.6","19.7","21.5","19.7 to 21.5","419,711","111,020","105,328","116,712","105,328 to 116,712","26.5","25.1","27.9","25.1 to 27.9","$46,410","$45,964","$46,856","$45,964 to $46,856"
"2010","18","18000","Indiana","6,294,427","960,402","942,495","978,309","942,495 to 978,309","15.3","15.0","15.6","15.0 to 15.6","1,576,164","340,700","330,138","351,262","330,138 to 351,262","21.6","20.9","22.3","20.9 to 22.3","1,143,084","224,269","214,987","233,551","214,987 to 233,551","19.6","18.8","20.4","18.8 to 20.4","424,068","107,909","102,827","112,991","102,827 to 112,991","25.4","24.2","26.6","24.2 to 26.6","$44,616","$44,178","$45,054","$44,178 to $45,054"
"2009","18","18000","Indiana","6,228,213","895,619","878,284","912,953","878,284 to 912,953","14.4","14.1","14.7","14.1 to 14.7","1,560,301","310,140","299,765","320,514","299,765 to 320,514","19.9","19.2","20.5","19.2 to 20.5","1,116,468","196,437","187,875","204,999","187,875 to 204,999","17.6","16.8","18.4","16.8 to 18.4","436,905","107,473","101,977","112,970","101,977 to 112,970","24.6","23.3","25.9","23.3 to 25.9","$45,427","$44,983","$45,870","$44,983 to $45,870"
