"Experiment","Attribute","Beta.Coeff","P.Value","Adj.R2","DF","Geography","Data.range"
11,"MONTH.AGE.BEGIN14",0.00635116386347767,1.04579697634865e-10,0.00820643726383208,144306,"ALL","2014Q4_2015"
11,"MONTH.AGE.BEGIN15",0.0065837889730216,9.93661113605655e-10,0.00820643726383208,144306,"ALL","2014Q4_2015"
11,"MONTH.AGE.BEGIN16",0.00697554896120539,1.6569505049575e-09,0.00820643726383208,144306,"ALL","2014Q4_2015"
11,"MONTH.AGE.BEGIN17",0.00810975116460416,2.05408019423368e-10,0.00820643726383208,144306,"ALL","2014Q4_2015"
11,"MONTH.AGE.BEGIN18",0.00940231797710451,6.01431163402574e-11,0.00820643726383208,144306,"ALL","2014Q4_2015"
11,"MONTH.AGE.BEGIN19",0.00704388725044616,1.00104352491659e-05,0.00820643726383208,144306,"ALL","2014Q4_2015"
11,"MONTH.AGE.BEGIN20",0.0102269554995476,9.76939087996530e-09,0.00820643726383208,144306,"ALL","2014Q4_2015"
11,"MONTH.AGE.BEGIN21",0.00493462279213969,0.0238085840392179,0.00820643726383208,144306,"ALL","2014Q4_2015"
11,"MONTH.AGE.BEGIN22",0.00582176366909048,0.0144943463124106,0.00820643726383208,144306,"ALL","2014Q4_2015"
11,"MONTH.AGE.BEGIN23",0.00810128785097653,0.0101634339129111,0.00820643726383208,144306,"ALL","2014Q4_2015"
12,"int_rate",0.000863366876092615,6.60145349778972e-74,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"UNEMP.RT_ISS",-0.000695675508530697,0.168483646109268,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"UNEMP.RT.BEGIN_DT",0.00108415636803156,0.0618502725619832,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN0",-0.00036500426960802,0.600833010428227,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN1",0.000595332823168967,0.388791431574743,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN2",0.00137525388161264,0.0456043063665532,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN3",0.00216677559420267,0.00159826082885983,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN4",0.00235361868707049,0.000617420339802037,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN5",0.00400990004285582,6.16087998857526e-09,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN6",0.00476796499985736,6.50131381014326e-12,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN7",0.00414796877748266,3.06957493731287e-09,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN8",0.00516850043054824,2.69965332167919e-13,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN9",0.00733931659501086,9.63530079229622e-25,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN10",0.0065238257957519,9.34851032501118e-18,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN11",0.00760671316669997,5.05276673194922e-21,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN12",0.00767108063972917,1.86472419463976e-18,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN13",0.00815231876322983,1.02005424064626e-18,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN14",0.00660287496916792,2.85277100356156e-11,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN15",0.0068816913413051,2.6488527074222e-10,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN16",0.00731277373319062,4.2608379779026e-10,0.00822353054516656,144305,"ALL","2014Q4_2015"
