"State","YEAR","Zip3","AvgIncome"
"AR",2013,"729xx",51297
"AR",2014,"716xx",44125
"AR",2014,"717xx",52174
"AR",2014,"718xx",47867
"AR",2014,"719xx",72265
"AR",2014,"720xx",79729
"AR",2014,"721xx",66835
"AR",2014,"722xx",110718
"AR",2014,"723xx",39026
"AR",2014,"724xx",74085
"AR",2014,"725xx",27559
"AR",2014,"726xx",42957
"AR",2014,"727xx",148479
"AR",2014,"728xx",33305
"AR",2014,"729xx",53061
"AR",2015,"716xx",44125
"AR",2015,"717xx",52174
"AR",2015,"718xx",47867
"AR",2015,"719xx",72265
"AR",2015,"720xx",79729
"AR",2015,"721xx",66835
"AR",2015,"722xx",110718
"AR",2015,"723xx",39026
"AR",2015,"724xx",74085
"AR",2015,"725xx",27559
"AR",2015,"726xx",42957
"AR",2015,"727xx",148479
"AR",2015,"728xx",33305
"AR",2015,"729xx",53061
"AR",2016,"716xx",44125
"AR",2016,"717xx",52174
"AR",2016,"718xx",47867
"AR",2016,"719xx",72265
"AR",2016,"720xx",79729
"AR",2016,"721xx",66835
"AR",2016,"722xx",110718
"AR",2016,"723xx",39026
"AR",2016,"724xx",74085
"AR",2016,"725xx",27559
"AR",2016,"726xx",42957
"AR",2016,"727xx",148479
"AR",2016,"728xx",33305
"AR",2016,"729xx",53061
"AZ",2011,"850xx",148150
"AZ",2011,"851xx",92838
"AZ",2011,"852xx",189365
"AZ",2011,"853xx",135473
"AZ",2011,"855xx",35008
"AZ",2011,"856xx",64282
"AZ",2011,"857xx",129674
"AZ",2011,"859xx",20946
"AZ",2011,"860xx",97408
"AZ",2011,"863xx",58301
"AZ",2011,"864xx",58343
"AZ",2011,"865xx",4116
"AZ",2012,"850xx",146315
"AZ",2012,"851xx",97524
"AZ",2012,"852xx",208229
"AZ",2012,"853xx",138558
"AZ",2012,"855xx",35206
"AZ",2012,"856xx",65950
"AZ",2012,"857xx",132675
"AZ",2012,"859xx",21549
"AZ",2012,"860xx",98899
"AZ",2012,"863xx",60434
"AZ",2012,"864xx",58108
"AZ",2012,"865xx",4557
"AZ",2013,"850xx",149823
"AZ",2013,"851xx",104503
"AZ",2013,"852xx",211230
"AZ",2013,"853xx",144012
"AZ",2013,"855xx",36614
"AZ",2013,"856xx",67126
"AZ",2013,"857xx",133446
"AZ",2013,"859xx",22128
"AZ",2013,"860xx",81796
"AZ",2013,"863xx",62975
"AZ",2013,"864xx",58574
"AZ",2013,"865xx",4938
"AZ",2014,"850xx",156097
"AZ",2014,"851xx",109139
"AZ",2014,"852xx",229321
"AZ",2014,"853xx",150260
"AZ",2014,"855xx",37054
"AZ",2014,"856xx",69650
"AZ",2014,"857xx",138205
"AZ",2014,"859xx",22772
"AZ",2014,"860xx",85807
"AZ",2014,"863xx",65777
"AZ",2014,"864xx",59677
"AZ",2014,"865xx",5229
"AZ",2015,"850xx",156097
"AZ",2015,"851xx",109139
"AZ",2015,"852xx",229321
"AZ",2015,"853xx",150260
"AZ",2015,"855xx",37054
"AZ",2015,"856xx",69650
"AZ",2015,"857xx",138205
"AZ",2015,"859xx",22772
