"","addr_state","grade","year(issue_d)","sum(loan_amnt)","sum(total_pymnt)","mean(int_rate)","mean(UNEMP_RATE_ISSUE_DT)","mean(AGE)","mean(fico_range_low)"
"918","MD","D",2013,3395075,3919087.340357,18.6942345276873,6.49739413680782,739.771986970684,677.035830618893
"919","MD","D",2014,5193200,5352977.76467215,17.0620833333333,5.7587962962963,NA,678.80787037037
"920","MD","D",2015,8617700,6695234.08870467,16.6103943661972,5.01943661971831,NA,679
"921","MD","E",2007,1500,1664.7246063555,14.7,3.5,305,630
"922","MD","E",2008,67500,81537.787689643,14.9275,4.175,951,672.5
"923","MD","E",2009,117000,135720.682271599,16.6375,7.15,958.75,673.75
"924","MD","E",2010,45700,54674.7927439526,16.9233333333333,7.6,831,665.833333333333
"925","MD","E",2011,161350,184281.619304321,18.3290909090909,7.13636363636364,783.636363636364,667.727272727273
"926","MD","E",2012,513325,600959.814611,20.7729166666667,6.88333333333333,801.125,669.583333333333
"927","MD","E",2013,795525,918866.842054,21.4192957746479,6.4943661971831,677.225352112676,674.718309859155
"928","MD","E",2014,2040050,2036236.14136052,20.2806214689266,5.73107344632768,644.920903954802,676.186440677966
"929","MD","E",2015,3441475,2718838.46393597,19.0587391304348,5.06695652173913,462.84347826087,677.782608695652
"930","MD","F",2007,20000,25188.8233832983,15.65,3.5,1096,665
"931","MD","F",2010,68750,71336.5494083201,18.67,7.6,548.333333333333,675
"932","MD","F",2011,22050,25099.5875257645,21.18,7.2,609,665
"933","MD","F",2012,25800,24337.64407,22.865,6.85,684.5,665
"934","MD","F",2013,119525,131452.146651,23.8435294117647,6.31176470588235,665.882352941176,678.235294117647
"935","MD","F",2014,336000,343279.734388101,24.3574358974359,5.76410256410256,NA,672.820512820513
"936","MD","F",2015,306625,235109.405357453,23.5793103448276,5.01379310344828,515.103448275862,680
"937","MD","G",2008,12500,14031.1,19.04,5.5,911,660
"938","MD","G",2010,25000,28458.3958907026,20.16,7.7,306,685
"939","MD","G",2012,54125,75791.91638,24.58,6.9,897,675
"940","MD","G",2014,90575,105941.640029233,25.83,5.83333333333333,740,673.333333333333
"941","MD","G",2015,54400,29280.53,27.1475,5.1,517.75,698.75
"942","ME","A",2015,1110000,650464.759935995,6.65824324324324,3.92297297297297,468.067567567568,726.959459459459
"943","ME","B",2007,3000,3450.9322229003,9.33,4.9,1096,695
"944","ME","B",2015,1534750,914999.760893773,9.98131782945736,3.8906976744186,453.651162790698,685.542635658915
"945","ME","C",2007,6200,7357.1769491476,11.065,4.8,1096,697.5
"946","ME","C",2014,29850,35402.8400160968,15.31,5.9,640,725
"947","ME","C",2015,1016625,641924.468316653,13.1135555555556,3.9,438.488888888889,686.166666666667
"948","ME","D",2015,415325,234703.875314424,16.8584848484848,3.85151515151515,397.272727272727,681.363636363636
"949","ME","E",2015,148175,103665.370909849,18.6388888888889,3.86666666666667,449.333333333333,685.555555555556
"950","ME","F",2015,6450,6855.7600006232,21.99,3.8,91,690
"951","MI","A",2008,38000,33960.5729922945,8.4875,8.1,1072.75,778.75
"952","MI","A",2009,242225,250463.444667115,8.54,14.2709677419355,670.516129032258,763.064516129032
"953","MI","A",2010,432400,410253.441309163,7.06244897959184,12.1510204081633,764.489795918367,755
"954","MI","A",2011,891175,971355.48881129,7.01821782178218,10.1732673267327,867.485148514852,751.683168316832
"955","MI","A",2012,2681825,2799934.348715,7.60204,9.0548,811.6,742.98
"956","MI","A",2013,5803375,6297111.526208,7.78288311688312,8.50025974025974,783.584415584416,728.168831168831
"957","MI","A",2014,11984900,12170261.7850668,7.50053956834532,6.99964028776978,732.258992805755,720.431654676259
"958","MI","A",2015,25339575,18456995.7069859,6.89478794642857,5.36735491071429,NA,717.893415178571
"959","MI","B",2008,41900,35380.3941291408,10.36,8.025,775.5,713.75
"960","MI","B",2009,356900,393401.628575455,11.45,13.7612903225806,705.741935483871,729.677419354839
"961","MI","B",2010,564025,608321.969597402,10.6592452830189,12.3811320754717,850.566037735849,720.094339622642
"962","MI","B",2011,561425,592430.340619523,10.8189473684211,10.2087719298246,764.561403508772,708.421052631579
